Sentence,Sentiment
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,neutral
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",neutral
FDA approves Shire's Vyvanse for binge-eating disorder,positive
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",positive
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",negative
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,neutral
Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .,neutral
$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,positive
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,positive
4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .,neutral
"s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store .",neutral
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",positive
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,neutral
"128,538 shares can still be subscribed for with Series E share options , max .",neutral
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,positive
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",negative
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",negative
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",neutral
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",negative
The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects .,positive
Glencore chief blames rivals' overproduction for share price fall,negative
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",neutral
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",negative
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive
1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .,neutral
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral
$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,negative
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,neutral
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",neutral
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,neutral
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,negative
"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive
British American Tobacco drops and sues PwC over pollution scandal,negative
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral
Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .,neutral
EasyJet attracts more passengers in June but still lags Ryanair,positive
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .",neutral
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,negative
"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .",neutral
$BIOC RSI extremely in long's favor looking at BIOC historically.,positive
Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,neutral
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral
The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .,neutral
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative
$ATHN Seems like a good short setup. Stop above the 50 day. No position.,negative
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral
The share subscription period will expire on 30 September 2007 .,neutral
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",neutral
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral
$TSLA recall,negative
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",positive
$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,neutral
"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 .",neutral
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,negative
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",negative
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive
Uponor improved its performance in spite of the decrease in residential construction in the US .,positive
The company will also be compensated for acting as a reserve batch plant .,positive
"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",negative
"In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .",negative
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral
Cision says the sale will return its U.K. operation to profitability .,positive
"Sampo Housing Loan Bank , a unit of Finland 's Sampo Bank , has priced its EUR1bn ( USD1 .3 bn ) bond at 99.889 % , Reuters reported .",neutral
The company is well positioned in Brazil and Uruguay .,positive
"Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .",neutral
facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral
The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .,neutral
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",positive
"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",neutral
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",neutral
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,negative
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,negative
"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",positive
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",positive
"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .",neutral
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive
Efficiency programs totalling 100 million euros are under way in Finnair .,positive
"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",neutral
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive
$FIO won't stay down,positive
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",neutral
$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,negative
"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia .",neutral
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative
"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",neutral
Tesco leads FTSE higher on Clubcard bid reports,positive
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral
Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,positive
The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive
"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",neutral
$FB slight green... May be runner later,positive
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",negative
"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .",neutral
Kemira 's partner in the project is St. Petersburg Water Works .,neutral
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative
$aapl.  Test the high today and probably go beyond after hours...,positive
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",negative
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,positive
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,positive
"The company operates a U.S. division in Lisle , Ill. .",neutral
"The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media , Processing & Network and Digital Innovations Business Areas .",neutral
"Tip of the week Panfish like bluegills are great fun to catch , especially for children new to fishing .",neutral
"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .",neutral
"The venture , which will be 51 % owned by Kemira and 49 % by IVRCL , will operate an inorganic coagulant manufacturing facility , to be built in Vishakapatnam Vizag in the state of Andhra Pradesh and to kick off operations in the second half of 2011 .",neutral
He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,neutral
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,neutral
"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .",positive
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,positive
Olvi has posted a strong set of figures for the first six months of this year .,positive
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive
"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",positive
Market data and analytics are derived from primary and secondary research .,neutral
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive
"Stora Enso , a global paper , packaging and wood products company , and Neste Oil , a Finnish company engaged in the refining and marketing of oil , have inaugurated the demonstration plant at Varkaus , Finland for biomass to liquids production utilizing forestry residues .",neutral
$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,positive
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral
"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",positive
Scanfil expects net sales in 2008 to remain at the 2007 level .,neutral
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,negative
The serial bond is part of the plan to refinance the short-term credit facility .,neutral
"Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .",neutral
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .,neutral
"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",negative
"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network .",neutral
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,positive
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,positive
$TZA is a rocket ship!!!,positive
$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,positive
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,positive
$AAPL $131 rally mode,positive
The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .,positive
"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",neutral
"Standard Chartered, RBS Escape Capital Raising in Stress Test",positive
The company has an annual turnover of EUR32 .8 m.,neutral
"Additionally , information on business segments , competitors and future outlook are provided .",neutral
Barclays share price subdued as bank faces fresh forex probe,negative
The recruits who have completed the K-retailer trainee program are qualified to start a career as independent retailers in K-stores .,neutral
The value of the three-year contract is estimated at EUR40m .,neutral
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive
Piper upgrades Symantec on improving renewal rates and enterprise growth $SYMC,positive
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive
"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .",neutral
"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",neutral
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 .,negative
